AoA,J,delta_a,V_inf,Acoustic
3.5,0.0,-10.0,0.0,0.0
5.0,0.0,-10.0,0.0,0.0
-1.0,0.0,-10.0,0.0,0.0
4.0,0.0,-10.0,0.0,0.0
7.0,0.0,-10.0,0.0,0.0
3.0,0.0,-10.0,0.0,0.0
-4.0,0.0,-10.0,0.0,0.0
0.0,0.0,-10.0,0.0,0.0
4.5,0.0,-10.0,0.0,0.0
-1.5,0.0,-10.0,0.0,0.0
1.0,0.0,-10.0,0.0,0.0
1.5,0.0,-10.0,0.0,0.0
-0.5,0.0,-10.0,0.0,0.0
2.0,0.0,-10.0,0.0,0.0
2.5,0.0,-10.0,0.0,0.0
1.5,2.4,-10.0,40.0,0.0
4.0,2.2,-10.0,40.0,0.0
3.5,1.6,-10.0,40.0,0.0
1.5,2.1,-10.0,40.0,0.0
-0.5,2.4,-10.0,40.0,0.0
-4.0,2.2,-10.0,40.0,0.0
7.0,1.9,-10.0,40.0,1.0
7.0,1.6,-10.0,40.0,1.0
7.0,1.6,-10.0,40.0,1.0
7.0,1.6,-10.0,40.0,1.0
1.0,1.6,-10.0,40.0,0.0
-4.0,2.4,-10.0,40.0,0.0
-4.0,2.4,-10.0,40.0,0.0
-4.0,2.4,-10.0,40.0,0.0
0.0,1.8,-10.0,40.0,0.0
4.0,1.8,-10.0,40.0,0.0
-1.5,1.6,-10.0,40.0,0.0
2.5,2.1,-10.0,40.0,0.0
-4.0,1.6,-10.0,40.0,0.0
-4.0,1.6,-10.0,40.0,0.0
-4.0,1.6,-10.0,40.0,0.0
7.0,2.1,-10.0,40.0,1.0
7.0,2.4,-10.0,40.0,1.0
7.0,2.4,-10.0,40.0,1.0
7.0,2.4,-10.0,40.0,1.0
4.0,2.4,-10.0,40.0,0.0
-0.5,1.9,-10.0,40.0,0.0
4.5,1.8,-10.0,40.0,0.0
-1.5,2.1,-10.0,40.0,0.0
-4.0,2.0,-10.0,40.0,0.0
-4.0,1.8,-10.0,40.0,0.0
8.0,1.6,-10.0,40.0,1.0
8.0,0.0,-10.0,40.0,1.0
-4.0,2.3000000000000007,-10.0,20.0,0.0
4.0,1.8000000000000003,-10.0,20.0,0.0
5.5,2.3000000000000007,-10.0,20.0,0.0
-2.0,2.3000000000000007,-10.0,20.0,0.0
2.5,2.3000000000000007,-10.0,20.0,0.0
0.5,2.400000000000001,-10.0,20.0,0.0
5.0,2.2000000000000006,-10.0,20.0,0.0
3.5,1.9000000000000004,-10.0,20.0,0.0
7.0,2.0,10.0,40.0,0.0
1.5,1.9,10.0,40.0,0.0
0.0,1.6,10.0,40.0,0.0
1.5,2.4,10.0,40.0,0.0
3.0,1.6,10.0,40.0,0.0
4.5,1.7,10.0,40.0,0.0
-1.0,2.2,10.0,40.0,0.0
-4.0,2.0,10.0,40.0,0.0
7.0,1.9,10.0,40.0,0.0
4.0,2.4,10.0,40.0,0.0
-1.0,1.6,10.0,40.0,0.0
7.0,2.4,10.0,40.0,0.0
7.0,2.4,10.0,40.0,0.0
7.0,2.4,10.0,40.0,0.0
-4.0,1.8,10.0,40.0,0.0
-0.5,1.9,10.0,40.0,0.0
-4.0,2.2,10.0,40.0,0.0
-0.5,2.4,10.0,40.0,0.0
-1.0,2.1,10.0,40.0,0.0
-4.0,1.6,10.0,40.0,0.0
-4.0,1.6,10.0,40.0,0.0
-4.0,1.6,10.0,40.0,0.0
5.0,2.2,10.0,40.0,0.0
2.0,1.9,10.0,40.0,0.0
7.0,1.6,10.0,40.0,0.0
7.0,1.6,10.0,40.0,0.0
7.0,1.6,10.0,40.0,0.0
-4.0,2.4,10.0,40.0,0.0
-4.0,2.4,10.0,40.0,0.0
-4.0,2.4,10.0,40.0,0.0
4.0,2.1,10.0,40.0,0.0
